ID,MaximumProbability,Wavelet.LHH_firstorder_Median,90Percentile, Wavelet.LLL_firstorder_Median
1,0.6291,-4.036,56.5353,29.1978
1,0.4535,-1.8464,46.8682,19.0985
1,0.7548,-0.7172,53.649,30.7906
1,0.5572,-0.403,48.4393,23.6978
1,0.7039,-3.2012,52.0609,30.3826
1,0.7459,3.7087,56.6819,30.214
1,0.6005,-0.2762,65.5119,36.2939
1,0.715,-1.1851,53.2756,27.6051
1,0.2994,-3.0599,100.8861,71.7222
1,0.3299,-2.4146,31.6002,5.4072
1,0.5629,-1.6728,38.3056,14.9824
1,0.3881,1.0183,40.2338,8.4034
1,0.5567,-1.0336,76.1714,56.6011
1,0.4317,-1.6559,32.2949,10.4951
1,0.6097,0.1541,49.3239,23.6328
1,0.5783,0.0348,45.6495,22.7755
1,0.4629,-1.3694,39.8429,10.7424
1,0.4113,-1.0398,48.8236,14.112
1,0.519,1.3152,64.7568,31.1707
1,0.6009,-5.8678,41.6445,18.9555
1,0.6066,-0.4522,68.2133,44.8337
1,0.6452,-0.2079,47.1461,14.8287
2,0.1497,0.9576,345.8028,261.0501
2,0.3712,0.0235,102.2583,66.4377
2,0.5613,-2.0376,131.7908,100.4108
2,0.0823,-5.1967,358.4636,244.0471
2,0.3189,-3.2582,116.4226,78.7855
2,0.4086,7.2775,96.7899,68.1111
2,0.1583,-3.5618,71.461,-10.9106
2,0.5027,-2.793,110.1699,85.0033
2,0.4046,-10.604,133.7228,89.8573
2,0.4224,-2.2311,150.8491,109.9021
2,0.2679,2.8644,118.7549,67.3739
2,0.3904,-3.7711,129.6744,89.8404
2,0.4414,2.1494,128.6782,89.5385
2,0.283,-0.2026,129.3769,80.4684
2,0.5454,-3.1409,135.3782,101.8253
2,0.4128,-3.3978,155.7906,119.4401
2,0.6883,-1.0203,40.08,20.1195
2,0.4778,-15.7304,84.6503,48.4643
2,0.6249,-5.6045,85.1241,47.4731
2,0.2674,-6.6234,102.4509,65.2629
2,0.2436,-0.1216,105.9045,66.2965
2,0.2951,-12.4547,98.6349,64.424
2,0.5008,-7.5372,83.4815,62.41
2,0.4696,1.952,86.4843,62.9863
2,0.6113,-9.3519,65.3997,12.0924
2,0.289,-7.1937,120.0432,74.5154
2,0.4046,-5.4113,94.803,56.4025
2,0.4159,1.5984,91.1384,57.4931
2,0.2526,2.7431,115.2299,65.9194
2,0.3844,1.8904,119.1685,80.1639
1,0.4447,-5.105,47.4514,14.7087
1,0.4851,-16.6033,83.2968,59.1914
1,0.1271,2.2061,319.8989,176.335
1,0.4735,-4.6592,54.4988,22.5025
1,0.3846,-0.0261,59.4814,21.2635
1,0.296,-20.1645,92.3374,3.0399
1,0.5739,-2.0189,45.8034,21.1621
1,0.6199,-2.184,54.9551,24.3684
1,0.8,0.2627,63.8284,33.7724
1,0.4689,1.3833,85.6021,65.1495
1,0.8539,-0.0295,48.0834,27.2511
1,0.8825,-2.0924,59.0241,34.2822
1,0.7091,-1.208,47.5964,25.6861
1,0.6185,-7.1607,37.8841,15.3134
1,0.5741,0.7309,110.6821,53.3324
